1,0,1.97,56.75,4.41,0,15.98,1.54,2.1,108.69,6.53,0,3,0.96,0,0,570.85,213.57,283.09,93.84,380.18,13.85,0,0,9.67,1.66,13.64,0.36,4.55,0.87,19.39,2.62,0
2,16.65,0,24.92,1.69,0,6.71,5.69,4.71,16.47,35.45,8.58,3.83,1.04,14.48,0,65.86,63.72,83.14,123.27,78.94,9.3,11.57,0,4.5,4.71,15.87,0.1,1.23,0.69,13.36,0,44.56
3,34.03,19.21,0,3.75,0,17.44,40.48,14.73,29.88,45.69,36.96,209.45,5.62,17.46,0,344.96,75.12,65.61,289.42,252.94,14.86,19.73,0,42.4,5.37,49.54,0,7.87,4.78,0,0,174.6
4,2.37,1.44,3.83,0,0,20.58,5.27,1.38,2.46,2.82,2.91,16,8.68,1.15,0,37.87,6.56,5.79,26.5,28.56,22.92217009,26.62,0,37.27,14.92,68.6171261,0,9.3,0.19,1.93,0,14.31
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,13.66,3.55,13.48,15.48,0,0,22.97,2.69,12.03,18.67,10.69,63.11,38.85,8.85,0,215.56,22.43,16.64,340.2627778,115.15,265.89,90.95,0,76,73.76,307.57,1.59,32.74,2.72,8,0,64.67
7,3.71,0.16,51.29,0,0,0,0,0.16,3.71,12.91,0.62,25.46,0,4.02,0,74.64,45.46,65.8,121.37,77.12,0,15.2,0,0,95.28,0,0,0,0.1,4.26,0,29.76
8,19.34,3.11,12.8,1.02,0,4.63,5.34,0,18.4,40.58,10.83,5.63,0.35,15.78,0,97.67,69.42,86.77,107.08,86.41,9.77,25.68,0,3.44,3.46,12.67,0.1,0.85,0.88,10.96,0,63.57
9,79.23,2.77,41.41,3.52,0,13.05,2.22,3.99,0,8.43,0,4.03,1.1,34.8,0,0,0,0,2.41,293.95,8.64,186.61,0,10.66,1.03,19.83,0.16,3.97,7.69,22.53,7.4,85.17
10,10.45,42.03,73.01,4.76,0,26.55,23.65,55.41,18.52,0,0,8.61,2.3,7.29,0,188.73,94.25,106.32,230.17,205.37,50.3,80.29,0,12.8,1.5,62.89,0.4,12.14,3.29,162.89,0,69.69
11,0,8.5,49,3.97,0,16.18,6.22,16.08,0,0,0,3.44,4.12,0,0,0,0,0,0,0,19.5,0,0,29.24,7.66,47.17,1.7,6.46,0,0,0,0
12,7.93,7.24,310.15,24.04,0,101.71,34.58,13.74,11.87,16.85,10.55,0,15.03,5.15,0,24.54,17.54,6.95,187.48,41.66,47.24,30.19,0,166.94,154.15,86.7,8.68,37.72,2.15,14.88,0,20.72
13,3.95,1.63,11.39,14.97,0,78.14,10.3,2,4.46,6.83,6.9,13.07,0,2.67,0,17.73,7.6,6.62,64.02,29.95,80.7172434,15.59,0,56.4,62.83,139.773783,0.49,29.04,0.18,5.7,0,12.3
14,0,1.34,28.28,2.22,0,7.73,2.14,2.33,38.92,7,0,2.09,0.18,0,0,0,5.39,240.19,77.09,434.47,2.49,0,0,5.03,0.1,12.17,0.16,2.41,0.85,23.11,2.73,0
15,0,156.34,681.49,75.29,0,596.19,183.18,314.2,0,288.73,0,129.73,20.69,0,0,0,0,0,4340,0,84.74,0,1076.45,476.7,11.97,416.52,51.33,167.8,688.23,1409.25,110.69,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,229.28,93.54,89.65,7.83,0,52.53,106.93,142.49,0,137.13,0,69.91,7.28,9.35,0,0,0,0,0,155.09,131.48,143,0,99.67,2.16,55.89,1.88,13.11,169.63,172.85,0.3,687.26
18,154.99,9.79,59.55,5.07,0,21.87,6.47,21.84,0,34.34,0,10.9,2.32,249.39,0,0,0,0,0.08,1194.52,9.03,3712.19,0,10.94,0.65,23.01,0.35,12.92,28.06,97.4,6.96,0
19,74.24,88.26,516.4,49.82,0,842.9684722,99.99,85.61,58.73,141.71,0,149.65,27.5,52.8,0,3410,0,11.8818,0,11.8818,50.96,11.8818,0,566.62,106.7,163.83,0.95,60.11,11.8818,254.94,0,11.8818
20,372.76,120.34,405.55,42.86,0,270.83,130.51,170.71,364.6,215.28,0,94.16,17.42,453.54,0,0,343.56,1359.92,11.8818,0,530.89,573.89,0,168.01,8.01,636.1,2.5,68.07,241.19,300.89,213.71,0
21,8.34,0.49,24.17,37.24645161,0,266.14,20.71,0.75,5.69,11.77,5.01,11.02,113.2995894,2.88,0,78.44,47.89,68.44,102.49,372.22,0,63.94,0,1462.221994,323.62,510,105.0336657,173.733783,1.54,14.81,0,70.27
22,0,19.57,279.2,41.08,0,265.34,58.98,58.13,327.73,88.93,0,47.1,23.73,0,0,0,510.22,4405.75,11.8818,966.89,152.23,0,0,106.47,0.03,296.57,5.01,99.24,15.71,12.97,105.66,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3152.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2,2.2,35.11,49.28,0,197.56,0,1.56,3.32,15.91,7.58,134.37,37.6,1.96,0,100.22,47.51,69.77,324.89,75.97,1450.387449,14.18,0,0,94.62,481.6643402,9.69,20.82,1.07,3.7,0,45.02
25,1.91,3.38,6.07,10.3,0,111.15,97.03,3.05,0.47,1.42,0.43,88.58,8.58,1.06,0,6.91,1.64,2.51,59.78,5.82,309.77,0.33,0,116.01,0,132.37,10.36,21.35,0.18,0,0,2.32
26,19.41,10.07,53.82,71.95337243,0,504.54,50.26,14.49,21.36,36.83,14,39.46,84.85020528,17.31,0,356.13,25.19,55.98,66.88,529.69,307.42,93.57,0,517.9480938,314.02,0,60.53378299,217.7191202,8.12,23.48,0,72.01
27,1.81,0.31,0,0,0,1.02,0,0.37,0.92,4.08,0.37,2.36,0.18,1.51,0,0.03,0.13,0.75,23.61,0.68,197.203695,8.98,0,6.94,24.75,8.431906158,0,1.81,0,0,0,7.22
28,7.05,2.3,7.58,8.51,0,33.85,10.61,2.17,5.63,10.46,4.29,23.67,12.89,3.63,0,26.34,6.78,1.02,58.13,28.28,236.1929619,30.63,0,22.22,42.89,129.9974194,0.66,0,0.61,3.8,0,23.71
29,17.56,11.37,6.38,0.26,0,2.23,8.73,16.45,11.79,12.64,0,0.96,0.26,4.46,0,155.97,97.36,102.18,11.8818,125.81,5.68,9.95,0,1.23,0.27,5.69,0,0.78,0,2.26,9.45,91.18
30,50.92,54.17,0.06,2.62,0,13.74,3.74,65.63,54.85,145.83,0,11.06,1.79,25.46,0,1000.36,206.01,183.15,290.94,358.37,14.21,19.84,0,6.07,0,29.14,0,5.44,2.36,0,80.12,232.18
31,3.11,0,0,0,0,0,0,0,5.64,0,0,0,0,2.69,0,97.49,26.29,64.02,0,147.44,0,52.91,0,0,0,0,0,0,0.03,33.18,0,68.27
32,0,62.04,356.25,31.45,0,153.9,56.59,116.41,237.87,104.48,0,14.42,14.17,0,0,0,1068.16,0,11.8818,0,172.68,0,0,96.07,4.76,291.82,8.07,39.45,167.03,209.5,134.65,0
