  A,  B,  Dir1, Dir2, Dir3, Dir4
18216,18263,0,0,0,1
18218,18770,0,0,1,0
18265,18218,0,0,1,0
18267,18752,0,1,0,0
18305,18643,1,0,0,0
18305,18753,0,0,1,0
18340,18750,1,0,0,0
18340,18755,0,0,1,0
18365,18806,1,0,0,0
18382,18365,1,0,0,0
18389,18769,1,0,0,0
18426,18382,1,0,0,0
18426,18758,0,0,1,0
18439,18449,1,0,0,0
18439,18766,0,0,1,0
18440,18836,1,0,0,0
18441,18440,1,0,0,0
18441,18761,0,0,1,0
18449,18450,1,0,0,0
18449,18765,0,0,1,0
18450,97405,1,0,0,0
18643,18267,1,0,0,0
18750,18305,1,0,0,0
18752,18753,0,1,0,0
18752,18819,0,1,0,0
18753,18305,0,0,0,1
18753,18754,0,1,0,0
18754,18755,0,1,0,0
18755,18340,0,0,0,1
18755,18807,0,1,0,0
18756,18757,0,1,0,0
18757,18758,0,1,0,0
18757,18803,0,1,0,0
18758,18426,0,0,0,1
18758,18759,0,1,0,0
18759,18837,0,1,0,0
18759,97403,0,0,0,1
18760,18761,0,1,0,0
18761,18441,0,0,0,1
18761,18762,0,1,0,0
18762,18763,0,1,0,0
18763,18764,0,1,0,0
18763,97405,0,0,0,1
18764,18765,0,1,0,0
18765,18449,0,0,0,1
18765,18766,0,1,0,0
18766,18439,0,0,0,1
18766,18767,0,1,0,0
18767,18768,0,0,1,0
18768,18389,0,1,0,0
18769,18439,1,0,0,0
18769,18772,1,0,0,0
18771,18216,0,0,0,1
18771,18829,0,0,0,1
18772,18774,1,0,0,0
18773,18767,0,0,1,0
18774,18776,1,0,0,0
18775,18773,0,1,0,0
18776,18778,1,0,0,0
18777,18775,0,1,0,0
18778,18780,1,0,0,0
18779,18777,0,1,0,0
18780,18782,1,0,0,0
18781,18779,0,1,0,0
18782,18784,1,0,0,0
18783,18781,0,1,0,0
18784,18786,1,0,0,0
18785,18783,0,1,0,0
18786,18788,1,0,0,0
18787,18785,0,1,0,0
18788,18790,1,0,0,0
18789,18787,0,1,0,0
18790,18792,1,0,0,0
18791,18789,0,1,0,0
18792,18794,1,0,0,0
18793,18791,0,1,0,0
18793,18837,0,1,0,0
18794,18796,1,0,0,0
18795,18793,0,1,0,0
18796,18798,1,0,0,0
18797,18795,0,1,0,0
18798,18800,1,0,0,0
18799,18797,0,1,0,0
18800,18802,1,0,0,0
18801,18799,0,1,0,0
18802,18382,1,0,0,0
18802,18804,1,0,0,0
18803,18801,0,1,0,0
18804,18808,1,0,0,0
18805,18803,0,1,0,0
18806,18340,1,0,0,0
18806,18808,1,0,0,0
18807,18756,0,1,0,0
18808,18810,1,0,0,0
18809,18805,0,1,0,0
18809,18807,0,1,0,0
18810,18812,1,0,0,0
18811,18809,0,1,0,0
18812,18814,1,0,0,0
18813,18811,0,1,0,0
18814,18816,1,0,0,0
18815,18813,0,1,0,0
18816,18818,1,0,0,0
18817,18815,0,1,0,0
18818,18643,1,0,0,0
18818,18820,1,0,0,0
18819,18817,0,1,0,0
18820,18822,1,0,0,0
18821,18819,0,1,0,0
18822,18824,1,0,0,0
18823,18821,0,1,0,0
18824,18826,0,0,1,0
18825,18823,0,1,0,0
18826,18828,0,0,1,0
18827,18825,0,0,0,1
18828,18770,0,0,1,0
18829,18827,0,0,0,1
18836,18792,1,0,0,0
18836,97403,1,0,0,0
18837,18760,0,1,0,0
97403,18426,1,0,0,0
97403,18759,0,0,1,0
97404,18441,1,0,0,0
97405,18763,0,0,1,0
97405,97404,1,0,0,0
