HOVNT,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
1,0,0.06,4,1.28,0,0.18,0.26,0,29.66,1.52,0,0.07,0.14,0,0,87.1,57.1,90.11,32.54,98.88,0.08,0,0,0,0.2,0.62,0,0.08,4.17,10.54,0,0
2,0.17,0,1.57,0.32,0,0.17,1.52,1.47,0.24,1.6,2.2,0.13,0.3,0.08,0,15.44,17.58,10.35,35.61,24.04,3.9,28.11,0,1.66,0.15,0.07,0,0.13,4.16,1.44,0,2.42
3,2.4,1.06,0,1.25,0,4.66,3.33,1.14,2.45,2.91,2.7,7.62,1.05,1.26,0,22.75,5.29,8.31,22.3,24.03,3.61,17.07,0,4.27,0.38,4.79,0,2.47,0.43,0,0,9.95
4,0.75,0.17,1.1,0,0,4.34,0,0.25,0.74,0.82,0.86,2.74,1.56,0.4,0,10.89,1.69,2.64,6.97,8.77,2.52,6.66,0,12.72,1.31,4.34,0,2.51,0.11,0.59,0,3.36
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.14,0.05,3.37,3.33,0,0,0,0.18,0.66,0.76,0.52,2.96,5.68,0.3,0,49.11,12.3,4.96,37.25,42.68,53.62,35.59,0,28.26,10.86,26.3,0.53,3.36,0.33,2.08,0,2.24
7,0.33,0.23,4.32,0,0,0,0,0.21,0.47,0.65,0.38,5.55,0,0.09,0,26.71,16.65,10.01,38.19,33.79,0,30.05,0,0,15.82,0,0,0,0.75,1.52,0,1.25
8,0,0.88,0.95,0.24,0,0.1,1.51,0,0.39,2.82,2.65,0.32,0.13,0.3,0,29.35,25.38,14.79,33.14,33.37,6.27,41.49,0,1.59,0,0.08,0,0.12,4.88,1.7,0,7.95
9,21.98,0.32,3.54,1.12,0,1.03,0.43,0.84,0,2.24,0,0.24,0.27,9.69,0,0,0,0,18.58,132.06,0.52,134.01,0,0.49,0.33,0.5,0,0.43,0.32,18.39,1.22,16.86
10,1.71,4.9,5.08,1.49,0,1.34,1.35,10.41,2.71,0,0,0.5,0.11,0.98,0,55.69,37.86,31.42,74.34,76.46,10.4,67.9,0,1.17,0.38,1.11,0,0.71,13.97,51.03,0,13.65
11,0,1.93,3.47,1.12,0,0.91,2.13,4.09,0,0,0,0.5,0.2,0,0,0,0,0,0,0,8.99,0,0,6.25,0.06,0.76,0,0.54,0,0,0,0
12,0.38,0.27,14.11,5.31,0,4.85,8.33,0.73,0.5,0.68,0.69,0,0.44,0.05,0,13.13,7.24,6.08,56.72,29.39,16.52,20.89,0,49.05,15.77,2.07,0,2.39,0.9,4.04,0,0.57
13,0.21,0.3,1.57,2.7,0,10.64,0,0.25,0.32,0.1,0.27,0.41,0,0.21,0,3.61,6.27,1.76,15.52,11.63,14.87,10.21,0,7.2,7.32,7.24,0.28,4.92,0.14,0.78,0,0.45
14,0,0.11,1.93,0.59,0,0.3,0.16,0.39,10.61,0.86,0,0,0.13,0,0,0,10.23,113.44,17.93,129.27,0,0,0,0.16,0.17,0.09,0,0.19,0,9.32,0.33,0
15,0,17.5,35.71,17.16,0,85.48,34.35,41.08,0,46.61,0,27.16,2.45,0,0,0,0,0,76.66,0,98.11,0,295.36,55.59,2.32,226.73,5.76,29.22,89.01,426.11,49.44,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,49.48,26.9,8.26,2.76,0,25.48,34.89,48.69,0,45.2,0,28.21,8.98,0,0,0,0,0,0,31.1,51.32,42.17,0,39.3,0.63,24.39,12.2,16.93,76.41,107.78,10.43,145.95
18,67.46,18.99,8.21,2.85,0,13.15,24.03,32.09,0,32.11,0,22.31,1.01,102.52,0,0,0,0,14.67,369.3,41.4,945.37,0,25.7,0.57,18.07,0,3.56,53.53,76.49,31.35,0
19,5.72,21.29,17.94,5.82,0,28.79,24.15,24.15,7.93,38.7,0,32.77,1.32,2.75,0,0,0,31.52,0,139.69,36.35,176.16,0,64.83,8.16,39.23,1.28,5.07,23.92,61.61,0,72.42
20,77.51,26.48,30.77,12.32,0,57.16,38.68,42.8,114.07,60.97,0,35.82,5.59,134.27,0,0,83.8,371.59,192.74,0,236.81,220.58,0,45.79,2.25,86.68,5.28,22.4,72.74,137.19,65.13,0
21,0.19,0.08,4.02,3.32,0,39.73,0,0.51,0.33,0.57,0.22,4.41,12.55,0,0,180.69,20.91,12.64,39.69,156.44,0,50.11,0,391.27,40.68,14.57,12.71,17.83,1.16,2.94,0,6.11
22,0,16.24,30.37,12,0,47.1,18.84,37.67,124.1,49.43,0,16.41,4.51,0,0,0,133.48,1435.82,253.79,262.99,48.53,0,0,31.59,0.1,36.95,0,22.94,33.05,51.48,60.4,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0.28,3.05,12.93,0,44.12,0,0.31,0.31,1.31,2.6,30.68,3.1,0.09,0,36.18,21.86,12.44,75.82,35.62,345.7,39.64,0,0,19.27,50.67,0.73,6.73,2.54,1.58,0,5.69
25,0,0.18,0.41,1.19,0,28.37,19.82,0,0.05,0.11,0.04,18.93,1.2,0.13,0,0.37,0.14,0.07,6.3,1.58,51.16,0.03,0,32.21,0,22.13,2.2,4.22,0,0,0,0.13
26,0.45,0,7.18,4.98,0,29.63,0,0.1,0.37,0.78,0.52,1.07,2.06,0.1,0,198.62,13.18,14.54,51.63,82.01,27.82,34.9,0,63.99,15.45,0,0.99,5.14,0.75,2.62,0,6.69
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.44,2.36,0,11.24,7.29,27.21,7.06,0,0.1,3.46,2.88,0,0.06,0,0,0,0
28,0.12,0.13,1.8,2.07,0,1.3,0,0.08,0.19,0.4,0.34,1.08,1.85,0.16,0,14.48,2.97,2.21,15.34,16.48,31.19,12.99,0,0.71,2.96,3.81,0,0,0.09,1.17,0,0.59
29,0,0.69,0.51,0.23,0,0.5,1.3,3.11,0,7,0,0.56,0.1,0,0,66.63,46.87,33.8,23.05,60.64,1.12,45.92,0,0.34,0,0.85,0,0.14,0,4.38,6.42,26.52
30,6.43,5.93,0,0.77,0,3.27,1.46,8.99,12,30.13,0,2.61,0.58,4.31,0,205.63,67.23,60.24,77.42,104.51,3.43,54.75,0,2.43,0,2.79,0,1.67,5.95,0,14.98,54.22
31,0.26,0,0,0,0,0,0,0,1.31,0,0,0,0,0.41,0,49.6,26.03,16.34,0,66.42,0,68.19,0,0,0,0,0,0,10.47,16.82,0,16.91
32,0,7.28,18.14,6.3,0,7.58,7,19.21,30.91,19.99,0,1.48,0.54,0,0,0,217.4,0,138.31,0,32.29,0,0,13.19,1.34,15.46,0,1.56,51.1,99.1,29.16,0
