VOL_PULL,V_HR8_SOV,V_HR18_SOV,DY_TOT
     51.00,    275.93,    111.32,   2625.89
    103.00,    261.47,    279.22,   3205.00
     76.00,         0,         0,         0
     82.00,         0,     90.36,   1023.68
     89.00,         0,         0,         0
     94.00,    701.64,    475.12,   6401.96
    105.00,    289.05,    129.48,   2893.55
     41.00,    538.72,    151.46,   3841.00
     29.00,    430.08,    298.55,   5759.99
     43.00,     10.68,     44.91,    369.51
    100.00,     90.78,    166.93,   1827.06
    102.00,     33.44,    114.97,    957.20
     79.00,     34.97,    158.07,   1435.08
     21.00,   1805.79,   3158.20,  26235.52
      5.00,   1055.07,    631.04,  11701.42
     54.00,   1664.72,   1946.13,  14847.52
     11.00,    327.08,    520.34,   5428.17
     69.00,   1322.17,    962.09,  11479.15
     59.00,    297.69,    236.74,   2779.53
     86.00,    125.16,     94.50,   1109.85
     83.00,    271.72,    205.36,   2386.94
     24.00,    682.90,    159.96,   4816.48
     30.00,   1505.52,    573.26,  12861.30
     36.00,    222.36,    105.01,   2969.70
      1.00,    468.40,    690.24,   8614.42
     16.00,    505.38,   2040.34,  15599.14
     13.00,   2281.26,   1943.40,  22148.43
      4.00,   1306.06,   1914.73,  26560.76
      6.00,    688.39,    494.32,  10239.54
      2.00,   1500.74,    649.25,  10332.13
      3.00,   2708.40,   1177.02,  27328.00
      8.00,   1514.25,   2515.30,  33848.22
      9.00,    307.84,    119.43,   1998.59
      7.00,   3582.25,   1599.88,  34871.29
     14.00,   1237.16,    194.79,   7127.32
     25.00,    175.44,    480.10,   4467.49
     10.00,   1646.34,   1303.63,  14721.67
     23.00,   1695.66,   3992.14,  44154.54
     31.00,    429.27,    991.87,  12009.71
     26.00,   3905.72,   2471.70,  40952.62
     42.00,    275.00,    166.40,   3294.69
     39.00,   2911.52,   2122.71,  30204.10
     52.00,    284.82,    100.83,   2598.81
     47.00,   3275.12,   2341.84,  29094.07
     55.00,   1786.48,   1294.80,  19821.16
     97.00,   2214.99,   2039.33,  19989.88
     60.00,    411.36,    458.59,   3954.16
    106.00,    242.36,    152.39,   2997.32
     70.00,   1004.29,    999.76,  10373.42
     67.00,   2467.79,   1537.79,  23419.49
     90.00,         0,         0,         0
     88.00,   2081.03,   1982.57,  20140.38
     84.00,    118.46,    363.53,   2699.65
     22.00,   4704.99,   2779.58,  45949.73
     33.00,   2911.52,   2122.71,  30204.10
     27.00,   1511.16,   3378.59,  39590.00
    110.00,    184.50,    613.55,   4564.54
     28.00,    377.05,    230.80,   4738.72
     34.00,   1646.24,   2678.74,  30714.34
     35.00,    110.44,    238.43,   2817.34
     40.00,   1758.16,   2545.32,  30866.70
     44.00,     53.69,     17.79,    363.60
    112.00,   1553.22,   2388.45,  26414.51
     53.00,    537.90,   2083.36,  14240.30
     56.00,   1242.56,   1976.13,  21128.00
     57.00,     78.52,    173.11,   1038.58
     62.00,   1427.40,   1974.47,  22372.50
     99.00,    257.38,    198.52,   3137.42
    101.00,         0,         0,         0
     68.00,   1491.80,   2163.22,  22796.02
     72.00,   1554.07,   2459.29,  22274.03
     75.00,         0,     60.14,    829.14
     77.00,   1554.07,   2399.15,  21444.89
     81.00,         0,     42.43,    281.70
     85.00,     36.91,     92.37,    677.87
     87.00,   1441.31,   2454.55,  20413.23
     93.00,    372.52,    715.18,   6314.17
     95.00,   1493.60,   2029.79,  17820.70
     98.00,   1600.23,   2557.38,  20452.73
     96.00,   1804.20,   1797.87,  17460.06
     20.00,   3112.86,   2347.04,  25980.66
     15.00,   1742.54,   2235.13,  22726.46
     91.00,    410.79,    241.46,   2529.82
     92.00,    106.63,    527.59,   2632.03
     73.00,    410.79,    241.46,   2529.82
     74.00,    106.63,    527.59,   2632.03
     66.00,    159.59,    420.68,   3128.05
     64.00,    930.93,    418.09,   5792.35
     63.00,    266.22,    948.27,   5760.08
     58.00,     89.30,     94.75,    857.38
     50.00,    841.64,    323.34,   4934.96
    111.00,   2485.87,   1953.66,  25199.69
     46.00,    789.24,    388.18,   3894.38
     48.00,   1613.26,   3149.91,  29766.61
     49.00,    187.71,    775.16,   4721.50
     45.00,     60.04,    761.46,   3352.10
     37.00,   1630.88,    711.52,   8829.35
     38.00,    247.75,   1536.62,   8073.59
     32.00,    799.28,    307.88,   4997.12
     18.00,    831.60,    403.64,   3832.23
     19.00,     63.25,    923.07,   3509.06
     65.00,    520.14,    176.63,   3262.53
    104.00,    143.63,    339.43,   3188.07
     61.00,   2074.21,   1593.35,  22421.49
     71.00,   2212.18,   1871.53,  21791.77
     80.00,    258.09,    105.60,   1676.60
     78.00,   2212.18,   1871.53,  21791.77
